n1,n2,weight
283,37,-1.0
284,37,-1.0
285,37,-1.0
2126,37,-1.0
286,37,-1.0
1108,1010,-1.0
1109,1010,-1.0
1110,1010,-1.0
1687,1686,1.0
624,225,1.0
625,225,1.0
626,225,1.0
627,225,1.0
628,225,1.0
2127,225,-1.0
1507,834,-1.0
1435,767,-1.0
2128,499,-1.0
1278,499,-1.0
1059,86,-1.0
451,127,1.0
452,127,1.0
453,127,1.0
454,127,1.0
1135,1021,-1.0
2129,861,-1.0
2130,858,-1.0
2131,500,-1.0
2132,500,-1.0
2133,500,-1.0
1338,612,-1.0
966,63,1.0
967,63,1.0
968,63,1.0
969,63,1.0
970,63,1.0
555,176,1.0
556,176,1.0
557,176,1.0
558,176,1.0
769,768,-1.0
1511,840,-1.0
1512,840,-1.0
846,297,1.0
847,297,1.0
2134,297,1.0
848,297,1.0
2135,297,1.0
849,297,1.0
751,267,1.0
752,267,1.0
2136,267,1.0
1047,81,1.0
1048,81,1.0
1049,81,1.0
1050,81,1.0
1051,81,1.0
1052,81,1.0
1053,81,-1.0
1054,81,-1.0
1055,81,-1.0
1056,81,-1.0
1284,508,1.0
1285,508,-1.0
2137,537,-1.0
1300,537,-1.0
1581,941,1.0
1582,941,1.0
1583,941,1.0
1584,941,-1.0
1585,941,-1.0
1237,430,-1.0
1238,430,-1.0
1239,430,-1.0
914,50,-1.0
915,50,-1.0
1296,524,-1.0
2138,524,-1.0
2139,346,-1.0
2140,346,-1.0
2141,346,-1.0
2142,346,-1.0
579,183,1.0
580,183,1.0
581,183,1.0
1377,670,-1.0
2143,670,-1.0
1378,670,-1.0
2144,284,1.0
2145,284,1.0
2146,284,1.0
783,284,-1.0
1702,1703,1.0
1701,1703,1.0
1752,1703,1.0
2147,678,-1.0
2148,678,-1.0
1202,1070,-1.0
1203,1070,-1.0
1204,1070,-1.0
1205,1070,-1.0
2149,1070,-1.0
1545,860,-1.0
116,15,1.0
117,15,1.0
118,15,-1.0
119,15,-1.0
2150,84,-1.0
2151,337,1.0
2152,337,1.0
2153,337,1.0
2154,337,1.0
1067,92,-1.0
